Neuron_ID,Diff_Mag,Ratio_Mag,Diff_Freq,FT_Mag_P,FT_Mag_C,Base_Mag_P,Base_Mag_C,FT_Freq_P,FT_Freq_C,Base_Freq_P,Base_Freq_C
0,0.01763896644115448,1.1477667926223851,0.018252849578857422,0.13700149953365326,0.11936253309249878,0.18110860884189606,0.16392835974693298,0.6994250416755676,0.6811721920967102,0.716852605342865,0.713133692741394
1,0.0032336749136447906,0.8841157809070656,0.008746981620788574,-0.024663055315613747,-0.027896730229258537,-0.021366095170378685,-0.02460099756717682,0.28514912724494934,0.27640214562416077,0.29320353269577026,0.2846747636795044
2,-0.005293181166052818,1.3386625901685603,-0.006119072437286377,-0.020926794037222862,-0.015633612871170044,-0.02103225700557232,-0.015866069123148918,0.1993207335472107,0.20543980598449707,0.1964556723833084,0.20195810496807098
3,0.008707089815288782,0.36810014884550823,0.02176305651664734,-0.005071552004665136,-0.013778641819953918,0.015978459268808365,0.005942916963249445,0.34042954444885254,0.3186664879322052,0.38696300983428955,0.3626289963722229
4,-0.0013875644654035568,1.0828594611350661,-0.0024191588163375854,-0.018146632239222527,-0.01675906777381897,-0.028154727071523666,-0.026464898139238358,0.2159987837076187,0.2184179425239563,0.19286011159420013,0.19581055641174316
5,0.0012810570187866688,0.8194969922977865,0.0016602277755737305,-0.005811553448438644,-0.007092610467225313,-0.010530824773013592,-0.011535665951669216,0.33078134059906006,0.32912111282348633,0.31969109177589417,0.3166362941265106
6,-0.0004836674779653549,1.0292830285462422,0.0034532546997070312,-0.01703580655157566,-0.016552139073610306,-0.02422754280269146,-0.02373424731194973,0.24246735870838165,0.23901410400867462,0.22118814289569855,0.21755464375019073
7,0.001160329207777977,0.9577944197427383,0.005673199892044067,-0.026309294626116753,-0.02746962383389473,-0.03504220023751259,-0.03659164533019066,0.30809804797172546,0.3024248480796814,0.28911465406417847,0.28300508856773376
8,0.0043512871488928795,0.7648840056453642,0.011896610260009766,-0.01415244024246931,-0.01850372739136219,0.016372980549931526,0.01371503435075283,0.3581606447696686,0.3462640345096588,0.41781458258628845,0.41009220480918884
9,0.00482313334941864,1.0291986666349047,0.004847824573516846,0.16997122764587402,0.16514809429645538,0.23320314288139343,0.23283828794956207,0.7551513910293579,0.7503035664558411,0.7775595188140869,0.773280918598175
10,0.0007543787360191345,0.986543495295582,0.011137664318084717,-0.055232834070920944,-0.05598721280694008,-0.05057254433631897,-0.05057977885007858,0.2147844433784485,0.20364677906036377,0.21182452142238617,0.20073428750038147
11,-0.003611847758293152,1.047810309985554,-0.005208343267440796,-0.07917913794517517,-0.07556729018688202,-0.08006466180086136,-0.0760287344455719,0.12678353488445282,0.13199187815189362,0.11871015280485153,0.12530358135700226
12,0.003135889768600464,1.014805346077265,0.002694249153137207,0.21487528085708618,0.21173939108848572,0.30745577812194824,0.30967825651168823,0.7749601006507874,0.7722658514976501,0.8016563653945923,0.7991423606872559
13,-0.007867768406867981,0.9638516148645786,0.0016127824783325195,0.20981089770793915,0.21767866611480713,0.16548694670200348,0.1742105633020401,0.7111319303512573,0.7095191478729248,0.6552917957305908,0.6539351344108582
14,0.0030685141682624817,1.029744444342195,0.015027284622192383,0.10619649291038513,0.10312797874212265,0.12366561591625214,0.12177923321723938,0.6166229844093323,0.6015956997871399,0.6982486844062805,0.6920157670974731
15,0.00144975446164608,0.9185391524999461,0.0046201348304748535,-0.01633591763675213,-0.01778567209839821,0.025749029591679573,0.026713065803050995,0.26391732692718506,0.2592971920967102,0.3663099408149719,0.37586328387260437
16,0.001722589135169983,1.0148532214829027,0.01102381944656372,0.11762837320566177,0.11590578407049179,0.1888188123703003,0.19278362393379211,0.522749662399292,0.5117258429527283,0.5294854044914246,0.5192110538482666
17,-0.00035162270069122314,1.0054820256715782,0.004515781998634338,-0.06467605382204056,-0.06432443112134933,-0.06661123782396317,-0.0660579726099968,0.1378263384103775,0.13331055641174316,0.1284247785806656,0.12448769807815552
18,0.0005473662167787552,0.9763229273685983,0.0023337900638580322,-0.02252938412129879,-0.023076750338077545,0.07910548150539398,0.08487232774496078,0.3219015598297119,0.3195677697658539,0.5170480012893677,0.5249791145324707
19,-0.0001108068972826004,1.004136517527797,0.004866793751716614,-0.027141040191054344,-0.027030233293771744,-0.02646518312394619,-0.026589207351207733,0.21079044044017792,0.2059236466884613,0.20953816175460815,0.2054208368062973
20,-0.002759728580713272,1.136460441728097,-0.006659850478172302,-0.022991709411144257,-0.020231980830430984,-0.029858769848942757,-0.026569359004497528,0.24420346319675446,0.25086331367492676,0.23893821239471436,0.24617674946784973
21,0.001865394413471222,0.9720442697816835,0.00863310694694519,-0.06482656300067902,-0.06669195741415024,-0.059600215405225754,-0.06167379394173622,0.21278269588947296,0.20414958894252777,0.22996355593204498,0.21958483755588531
22,0.003614872694015503,0.9487101998654932,0.007020339369773865,-0.06684599816799164,-0.07046087086200714,-0.0669855996966362,-0.07064034044742584,0.14668715000152588,0.13966681063175201,0.1507001370191574,0.14321492612361908
23,0.005042110453359783,-3.1195420009493353,0.011014342308044434,0.0038174039218574762,-0.0012247065315023065,0.006570153869688511,-0.00010207646118942648,0.323438435792923,0.31242409348487854,0.3213987350463867,0.3062291145324707
24,0.004572421312332153,1.0553320609578212,0.00866156816482544,0.08718936890363693,0.08261694759130478,0.2557051181793213,0.2641685903072357,0.5558496117591858,0.5471880435943604,0.6088532209396362,0.5999544262886047
25,-0.0034675486385822296,1.0569857994307676,-0.009202331304550171,-0.06433544307947159,-0.06086789444088936,-0.06632936745882034,-0.06291436403989792,0.19452033936977386,0.20372267067432404,0.18978634476661682,0.199102520942688
26,0.008605439215898514,0.6916377100619192,0.019021302461624146,-0.019299229606986046,-0.02790466882288456,-0.023823274299502373,-0.03219429776072502,0.2938960790634155,0.2748747766017914,0.291505366563797,0.2721804678440094
27,-0.001022927463054657,1.0279812784827493,0.0015653520822525024,-0.03761723265051842,-0.03659430518746376,-0.03778398036956787,-0.036568816751241684,0.20892152190208435,0.20735616981983185,0.2053069919347763,0.20341908931732178
28,0.0015580151230096817,0.9493291425129327,0.006953924894332886,-0.02917100489139557,-0.03072902001440525,-0.02263808250427246,-0.02453211322426796,0.16108833253383636,0.15413440763950348,0.16781458258628845,0.16077527403831482
29,0.000586923211812973,1.0181726895802663,0.00101509690284729,0.03282788768410683,0.032240964472293854,0.11899406462907791,0.12491462379693985,0.44362854957580566,0.4426134526729584,0.6462792158126831,0.6519713401794434
30,-0.0011834613978862762,1.0339443882786101,-0.007731884717941284,-0.03607863560318947,-0.03489517420530319,-0.034715160727500916,-0.03351234644651413,0.2668013572692871,0.2745332419872284,0.27069100737571716,0.27814775705337524
31,0.009888321161270142,1.0850315413715355,0.015017807483673096,0.12616559863090515,0.11627727746963501,0.09740821272134781,0.08831921219825745,0.6190896034240723,0.6040717959403992,0.5740930438041687,0.5579841732978821
32,0.007452584803104401,1.108222873448331,0.012067437171936035,0.07630565017461777,0.06885306537151337,0.14209145307540894,0.13796573877334595,0.5814074873924255,0.5693400502204895,0.6192603707313538,0.6180176138877869
